team,elo_rating,squad_market_value_m,squad_market_value_eur,avg_goals_scored,avg_goals_conceded,form_index,squad_size,avg_squad_age,fifa_ranking,value_imputed,matches_played
Canada,1802.0,129.4,129380005.0,1.6,0.6,0.36363636363636365,26.0,26.5,30.0,False,329.0
Ukraine,1802.0,261.7,261700012.0,1.4,1.75,0.45454545454545453,26.0,26.7,32.0,False,333.0
Scotland,1790.0,198.1,198149994.0,1.4,1.45,0.5454545454545454,26.0,28.7,43.0,False,330.0
South Korea,1784.0,136.8,136750000.0,2.0,0.9,0.6,26.0,28.2,25.0,False,552.0
Russia,1782.0,205.3,205300003.0,2.75,0.6,0.5818181818181818,29.0,26.4,36.0,False,385.0
Australia,1774.0,51.2,51230000.0,1.75,0.7,0.5636363636363636,26.0,27.1,27.0,False,380.0
Serbia,1769.0,298.5,298500000.0,0.8,1.1,0.43636363636363634,28.0,26.8,39.0,False,345.0
Greece,1761.0,288.1,288100006.0,1.75,1.05,0.32727272727272727,24.0,26.6,47.0,False,378.0
Iran,1754.0,23.1,23080000.0,1.75,0.85,0.2727272727272727,31.0,28.3,21.0,False,450.0
United States,1747.0,356.7,356700012.0,1.95,1.45,0.5636363636363636,27.0,26.4,16.0,False,616.0
Panama,1742.0,32.4,32400002.0,1.65,1.05,0.3090909090909091,23.0,29.6,33.0,False,398.0
Poland,1735.0,214.5,214500000.0,1.55,1.5,0.7272727272727273,25.0,27.7,35.0,False,443.0
Uzbekistan,1735.0,63.8,63750000.0,1.5,0.65,0.4909090909090909,26.0,27.9,50.0,False,352.0
Chile,1731.0,72.7,72699997.0,1.1,1.3,0.6181818181818182,26.0,25.3,54.0,False,422.0
Czech Republic,1731.0,171.5,171500000.0,1.7,1.2,0.43636363636363634,25.0,28.0,43.0,False,358.0
Algeria,1726.0,227.8,227750000.0,2.4,0.65,0.7454545454545455,26.0,25.9,28.0,False,391.0
Wales,1715.0,197.9,197949997.0,1.55,1.2,0.41818181818181815,25.0,26.9,37.0,False,307.0
Venezuela,1715.0,62.8,62779999.0,1.15,1.65,0.41818181818181815,28.0,26.4,49.0,False,365.0
Kosovo,1714.0,114.3,114279999.0,1.75,1.15,0.6545454545454545,25.0,27.6,78.0,False,102.0
Peru,1698.0,28.8,28750000.0,0.45,1.15,0.01818181818181818,24.0,26.8,53.0,False,387.0
Hungary,1698.0,205.6,205600006.0,1.05,1.75,0.4909090909090909,25.0,26.5,42.0,False,372.0
Slovenia,1695.0,142.9,142850006.0,0.75,1.0,0.10909090909090909,25.0,27.0,58.0,False,315.0
Ireland,1688.0,,,,,,,,,,
Jordan,1687.0,16.0,15980000.0,1.55,1.2,0.5454545454545454,26.0,27.1,63.0,False,421.0
Slovakia,1687.0,130.4,130449997.0,1.15,1.4,0.43636363636363634,27.0,28.6,48.0,False,351.0
Bolivia,1675.0,18.6,18629999.0,1.0,1.6,0.43636363636363634,28.0,24.9,76.0,False,354.0
Albania,1664.0,81.8,81750000.0,1.0,1.0,0.5636363636363636,23.0,28.3,64.0,False,309.0
Sweden,1660.0,364.0,363980011.0,1.95,1.35,0.2909090909090909,26.0,26.4,38.0,False,458.0
Georgia,1650.0,195.3,195300003.0,1.55,1.5,0.14545454545454545,23.0,26.4,72.0,False,304.0
Romania,1642.0,97.2,97199997.0,1.85,1.2,0.4727272727272727,26.0,27.8,56.0,False,393.0
Tunisia,1641.0,52.3,52299999.0,1.8,0.8,0.4,29.0,25.5,44.0,False,452.0
Costa Rica,1633.0,18.7,18700001.0,2.35,1.15,0.14545454545454545,23.0,24.8,51.0,False,513.0
Israel,1631.0,85.9,85900002.0,1.6,2.0,0.41818181818181815,25.0,26.3,77.0,False,307.0
Nigeria,1627.0,209.1,209080002.0,1.9,0.8,0.6545454545454545,23.0,27.6,26.0,False,414.0
DR Congo,1616.0,,,1.5,0.55,0.6,,,,,340.0
Saudi Arabia,1612.0,27.6,27629999.0,1.05,1.05,0.41818181818181815,23.0,27.9,61.0,False,574.0
Mali,1612.0,,,1.4,0.5,0.23636363636363636,,,,,384.0
Ivory Coast,1607.0,,,1.85,0.55,0.6727272727272727,,,,,411.0
Northern Ireland,1602.0,80.2,80150002.0,1.3,1.2,0.4,28.0,25.4,70.0,False,303.0
North Macedonia,1592.0,38.7,38700001.0,1.25,1.15,0.14545454545454545,26.0,28.6,67.0,False,304.0
Egypt,1591.0,108.0,108000000.0,1.3,0.7,0.5454545454545454,26.0,29.0,29.0,False,508.0
New Zealand,1586.0,22.2,22200001.0,2.55,0.95,0.05454545454545454,23.0,27.5,85.0,False,232.0
Iraq,1582.0,19.2,19180000.0,1.0,1.05,0.4909090909090909,28.0,26.6,57.0,False,430.0
Bosnia and Herzegovina,1571.0,125.6,125599998.0,1.4,1.7,0.4,23.0,27.0,65.0,False,281.0
Honduras,1567.0,16.3,16299999.0,1.3,1.1,0.3090909090909091,26.0,25.3,66.0,False,466.0
Iceland,1566.0,74.0,74029999.0,1.55,2.05,0.2,23.0,27.8,75.0,False,365.0
Angola,1566.0,,,1.05,0.9,0.21818181818181817,,,,,348.0
Cape Verde,1560.0,,,1.25,1.1,0.32727272727272727,,,,,198.0
Cameroon,1559.0,,,1.25,0.6,0.4,,,,,429.0
United Arab Emirates,1549.0,31.1,31129999.0,1.45,1.05,0.2727272727272727,24.0,26.6,68.0,False,488.0
Burkina Faso,1547.0,,,1.9,0.9,0.6909090909090909,,,,,371.0
Haiti,1542.0,,,2.6,1.1,0.41818181818181815,,,,,297.0
South Africa,1531.0,41.2,41150002.0,1.85,0.85,0.43636363636363634,23.0,26.9,60.0,False,452.0
Guatemala,1528.0,5.3,5330000.0,1.4,1.35,0.36363636363636365,21.0,25.2,96.0,False,362.0
Jamaica,1527.0,53.8,53779999.0,1.65,0.95,0.6,27.0,27.6,71.0,False,509.0
Macedonia,1517.0,,,,,,,,,,
Finland,1509.0,41.6,41599998.0,1.1,1.75,0.509090909090909,23.0,25.9,73.0,False,394.0
Ghana,1509.0,199.3,199279999.0,1.6,1.2,0.4,25.0,26.7,74.0,False,417.0
